"merge","cubes","ash","fomo","lp","other","q2","q3","q4","q4open","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q9open"
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","Tokens in a class will compete against each other",NA,"Pak told us :)","During or After Q4 2022 (Oct-Dec)","Disagree","18000","Straightforward aesthetic appeal",65,"Less than 25 percent","5 hours or less","9","Net positive",NA
"Merge (Mass)",NA,NA,NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","2","I do not have a theory on classes",NA,NA,"During or After Q4 2022 (Oct-Dec)","Agree",NA,"Straightforward aesthetic appeal",NA,"Less than 25 percent","5 hours or less","8","Net positive",NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)",NA,"50-100 ETH","3","I do not have a theory on classes",NA,NA,"During Q2 2022 (Apr-Jun)","Agree","30400","Other (please specify)",65,"More than 75 percent","6 to 10 hours","10","Net positive","Creators understanding of value creation "
"Merge (Mass)",NA,NA,NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","1","I do not have a theory on classes",NA,"Ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)","Music token","10-50 ETH","2","Tokens will compete both within and across classes",NA,"Favourable to both small & large collectors","During or After Q4 2022 (Oct-Dec)","Disagree","20000","Expected appreciation on secondary market",40,"More than 75 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","Other (please explain your class theory)","Black.mass NFT drop mechanisms","Treasure hunt x marks the spot ","During Q3 2022 (Jul-Sep)","Agree","8000","Artist history of community membership",100,"Between 50 and 75 percent","11 to 20 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","I do not have a theory on classes",NA,"Only top X% of Merge NFTs will be enabled for ASH redemption","During Q2 2022 (Apr-Jun)","Strongly agree","20000","Innovative application of Web 3.0 technology",68,"Between 25 and 50 percent","5 hours or less","7","Not Sure",NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)",NA,"5-10 ETH","2","I do not have a theory on classes",NA,"Minimum clashes","During Q3 2022 (Jul-Sep)","Agree","10000","Innovative application of Web 3.0 technology",58,"Between 25 and 50 percent","5 hours or less","8","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","2","I do not have a theory on classes",NA,"I don't think Mass.black is for ASH redemption.","During Q2 2022 (Apr-Jun)","Neither agree nor disagree","1","Artist commitment to ASH ecosystem",27,"More than 75 percent","More than 20 hours","3","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","I do not have a theory on classes",NA,"can't predict pak","During Q2 2022 (Apr-Jun)","Agree","15000","Innovative application of Web 3.0 technology",31,"Between 25 and 50 percent","6 to 10 hours","7","Net positive",NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","I do not have a theory on classes",NA,"Similar to burn.art","During Q3 2022 (Jul-Sep)","Disagree","15000","Artist history of community membership",68,NA,"6 to 10 hours","8","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","2","Classes will compete against other classes",NA,"All Mass.Black tokens will be high tier burnable immediately","During or After Q4 2022 (Oct-Dec)","Neither agree nor disagree","15000","Artist history of community membership",31,"Between 50 and 75 percent","11 to 20 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)","Narcissus ","10-50 ETH","5","Tokens in a class will compete against each other",NA,"1 for 1","During Q2 2022 (Apr-Jun)","Neither agree nor disagree","20000","Artist commitment to ASH ecosystem",113,"Between 50 and 75 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)",NA,NA,"Lost Poets (Poets/Pages)",NA,"50-100 ETH","2","I do not have a theory on classes",NA,NA,"During or After Q4 2022 (Oct-Dec)","Disagree","8000","Innovative application of Web 3.0 technology",62,"Between 25 and 50 percent","6 to 10 hours","10","Does not matter",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"50-100 ETH","1","I do not have a theory on classes",NA,"I cannot give an unbiased answer, because Pak has already announced the details of Mass.Black on Twitter.","During or After Q4 2022 (Oct-Dec)","Strongly agree","25000","Artist commitment to ASH ecosystem",8,"More than 75 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","2","I do not have a theory on classes",NA,"Some drops will require ash some will not.","During Q3 2022 (Jul-Sep)","Agree","20000","Innovative application of Web 3.0 technology",121,"Less than 25 percent","5 hours or less","7","Net positive",NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)",NA,"<5 ETH","1","Classes will compete against other classes",NA,"Good question","The floor price for mute Poets will never exceed the high tier ASH rate.","Agree","35000","Artist commitment to ASH ecosystem",60,"Between 50 and 75 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","1","Classes will compete against other classes",NA,NA,"Before or During Q1 2022 (Jan-Mar)","Strongly agree",NA,"Innovative application of Web 3.0 technology",NA,"More than 75 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)","Song of the Nine Paths","5-10 ETH","2","Tokens in a class will compete against each other",NA,"Fomo","During or After Q4 2022 (Oct-Dec)","Disagree","18000","Artist history of community membership",90,"Between 25 and 50 percent","11 to 20 hours","9","Does not matter",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"50-100 ETH","1","I do not have a theory on classes",NA,"sorry, no clue","During or After Q4 2022 (Oct-Dec)","Strongly agree","25000","Artist history of community membership",114,"More than 75 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","Classes will compete against other classes",NA,"Like an exchange. Simple. But middle tier bonding curve. ","During Q2 2022 (Apr-Jun)","Neither agree nor disagree","20000","Innovative application of Web 3.0 technology",32,"More than 75 percent","6 to 10 hours","7","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","I do not have a theory on classes",NA,NA,"During Q3 2022 (Jul-Sep)","Neither agree nor disagree","20000","Innovative application of Web 3.0 technology",31,"Less than 25 percent","5 hours or less","7","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)",NA,"5-10 ETH","2","I do not have a theory on classes",NA,"I have no clue. I'm very confused by it.","During Q3 2022 (Jul-Sep)","Strongly agree","30000","Expected appreciation on secondary market",31,"Less than 25 percent","5 hours or less","8","Net positive",NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)",NA,"5-10 ETH","2","Tokens will compete both within and across classes",NA,NA,"The floor price for mute Poets will never exceed the high tier ASH rate.","Agree","10000","Innovative application of Web 3.0 technology",22,"Between 25 and 50 percent","5 hours or less","8","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","I do not have a theory on classes",NA,"You have the right Mass u get a NFT","During or After Q4 2022 (Oct-Dec)","Neither agree nor disagree","10000","Straightforward aesthetic appeal",93,"More than 75 percent","11 to 20 hours","5","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"<5 ETH","1","Tokens will compete both within and across classes",NA,"Impossible to assume I know anything. Haha","During Q3 2022 (Jul-Sep)","Agree","300","Artist commitment to ASH ecosystem",95,"More than 75 percent","11 to 20 hours","7","Net negative",NA
